assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
MGI	MGI:MGI:96759	Ldha	PMID:8224816		GO:0019661	homolactic fermentation	IMP	MGI:MGI:2384559	MGI:MGI:96759	PANTHER:PTHR43128	20150806	CL:0000232	NCBITaxon:10090
MGI	MGI:MGI:2442752	Tigar	PMID:20935145		GO:1904024	negative regulation of glucose catabolic process to lactate via pyruvate	IMP		MGI:MGI:2442752	PANTHER:PTHR46517	20150316	CL:0000746|GO:0019661	NCBITaxon:10090
RGD	RGD:1305181	Slc25a12	PMID:19764902		GO:1904024	negative regulation of glucose catabolic process to lactate via pyruvate	IMP		RGD:1305181	PANTHER:PTHR45678	20180621		NCBITaxon:10116
ARUK-UCL	RNAcentral:URS000055128B_9606	hsa-miR-210-3p	PMID:20436681		GO:1904025	positive regulation of glucose catabolic process to lactate via pyruvate	IMP				20190314	GO:1900037	NCBITaxon:9606
UniProt	MGI:MGI:99678	Actn3	PMID:17828264		GO:1904025	positive regulation of glucose catabolic process to lactate via pyruvate	IMP		MGI:MGI:99678	PANTHER:PTHR11915	20150511	GO:0014883	NCBITaxon:10090
