assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
SGD	SGD:S000002236	MDH3	PMID:7628449		GO:0006735	NADH regeneration	IMP		SGD:S000002236	PANTHER:PTHR11540	20140204		NCBITaxon:559292
ComplexPortal	EcoCyc:PNTB-MONOMER	PntB	PMID:8941721		GO:0006740	NADPH regeneration	IDA		EcoCyc:PNTB-MONOMER		20240827		NCBITaxon:83333
ComplexPortal	EcoCyc:PNTA-MONOMER	PntA	PMID:8941721		GO:0006740	NADPH regeneration	IDA		EcoCyc:PNTA-MONOMER		20240827		NCBITaxon:83333
ComplexPortal	ComplexPortal:CPX-5623	pntab_ecoli	PMID:8941721		GO:0006740	NADPH regeneration	IDA				20240827		NCBITaxon:83333
EcoCyc	EcoCyc:PNTB-MONOMER	PntB	PMID:14660605		GO:0006740	NADPH regeneration	IMP		EcoCyc:PNTB-MONOMER		20211125		NCBITaxon:83333
EcoCyc	EcoCyc:PNTA-MONOMER	PntA	PMID:14660605		GO:0006740	NADPH regeneration	IMP		EcoCyc:PNTA-MONOMER		20211125		NCBITaxon:83333
MGI	MGI:MGI:105979	G6pdx	PMID:21527585		GO:0006740	NADPH regeneration	IDA		MGI:MGI:105979	PANTHER:PTHR23429	20241209		NCBITaxon:10090
MGI	MGI:MGI:96413	Idh1	PMID:21527585		GO:0006740	NADPH regeneration	IDA		MGI:MGI:96413	PANTHER:PTHR11822	20241209		NCBITaxon:10090
MGI	MGI:MGI:97553	Pgd	PMID:21527585		GO:0006740	NADPH regeneration	IDA		MGI:MGI:97553	PANTHER:PTHR11811	20241209		NCBITaxon:10090
MGI	MGI:MGI:87879	Aco1	PMID:25550467		GO:0006740	NADPH regeneration	IMP		MGI:MGI:87879	PANTHER:PTHR11670	20241209		NCBITaxon:10090
SGD	SGD:S000005982	ALD6	PMID:12584194		GO:0006740	NADPH regeneration	IGI	SGD:S000005185	SGD:S000005982	PANTHER:PTHR11699	20130807		NCBITaxon:559292
SGD	SGD:S000005901	ALD4	PMID:19158096		GO:0006740	NADPH regeneration	IGI	SGD:S000006109	SGD:S000005901	PANTHER:PTHR11699	20130807		NCBITaxon:559292
SGD	SGD:S000004932	YMR315W	PMID:19712762		GO:0006740	NADPH regeneration	IGI	SGD:S000005185	SGD:S000004932	PANTHER:PTHR42840	20130807		NCBITaxon:559292
SGD	SGD:S000005185	ZWF1	PMID:2269430		GO:0006740	NADPH regeneration	IMP		SGD:S000005185	PANTHER:PTHR23429	20130807		NCBITaxon:559292
UniProt	EcoCyc:PNTA-MONOMER	PntA	PMID:16083909		GO:0006740	NADPH regeneration	IDA		EcoCyc:PNTA-MONOMER		20130226		NCBITaxon:83333
UniProt	RGD:621294	Aldh1l1	PMID:1848231		GO:0006740	NADPH regeneration	IDA		RGD:621294	PANTHER:PTHR11699	20211022		NCBITaxon:10116
UniProt	UniProtKB:O75891	ALDH1L1	PMID:19933275		GO:0006740	NADPH regeneration	IDA		UniProtKB:O75891	PANTHER:PTHR11699	20211022		NCBITaxon:9606
UniProt	UniProtKB:Q3SY69	ALDH1L2	PMID:21238436		GO:0006740	NADPH regeneration	IDA		UniProtKB:Q3SY69	PANTHER:PTHR11699	20211027		NCBITaxon:9606
UniProt	MGI:MGI:2444680	Aldh1l2	PMID:33168096		GO:0006740	NADPH regeneration	IMP		MGI:MGI:2444680	PANTHER:PTHR11699	20210929		NCBITaxon:10090
TAIR	AGI_LocusCode:AT1G55670	PSAG	PMID:15953472		GO:0009780	photosynthetic NADP+ reduction	IMP		AGI_LocusCode:AT1G55670		20070307		NCBITaxon:3702
