used_id	used_by_id	predicate	source	dataset	context	axiom	description
GO:0001676	FYPO:0001295	UPHENO:0000001	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0001676	FYPO:0001296	UPHENO:0000001	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0001676	FYPO:0001305	UPHENO:0000001	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0001676	OBA:1000392	RO:0002314	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
GO:0033559	OBA:1000576	RO:0002314	UbergraphImplementation	None	UsageContext.RELATIONSHIP_OBJECT	None	None
