assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
AspGD	UniProtKB:G5EAW6	ANIA_04361	PMID:12890030		GO:0000096	sulfur amino acid metabolic process	IMP			PANTHER:PTHR13044	20090910		NCBITaxon:227321
AspGD	UniProtKB:Q5B2L2	ANIA_05218	PMID:25391366		GO:0000096	sulfur amino acid metabolic process	IMP			PANTHER:PTHR23334	20150127		NCBITaxon:227321
CGD	CGD:CAL0000197561	MET4	PMID:33724418|CGD_REF:CAL0000229051		GO:0000096	sulfur amino acid metabolic process	IMP			PANTHER:PTHR13044	20230109		NCBITaxon:237561
EcoCyc	EcoCyc:G7454-MONOMER	CsdA	PMID:9278392		GO:0000096	sulfur amino acid metabolic process	IDA		EcoCyc:G7454-MONOMER		20100114		NCBITaxon:83333
FlyBase	FB:FBgn0000566	Cth	PMID:8253272		GO:0000096	sulfur amino acid metabolic process	NAS		FB:FBgn0000566	PANTHER:PTHR11808	20060803		NCBITaxon:7227
FlyBase	FB:FBgn0000565	MsrA	PMID:8253272		GO:0000096	sulfur amino acid metabolic process	NAS		FB:FBgn0000565	PANTHER:PTHR42799	20060803		NCBITaxon:7227
Reactome	UniProtKB:Q99707	MTR	Reactome:R-HSA-1614635		GO:0000096	sulfur amino acid metabolic process	TAS		UniProtKB:Q99707	PANTHER:PTHR45833	20250827		NCBITaxon:9606
SGD	SGD:S000001484	MET14	PMID:1101032		GO:0000096	sulfur amino acid metabolic process	IMP		SGD:S000001484	PANTHER:PTHR11055	20130807		NCBITaxon:559292
SGD	SGD:S000003771	MET3	PMID:1101032		GO:0000096	sulfur amino acid metabolic process	IMP		SGD:S000003771	PANTHER:PTHR42700	20130807		NCBITaxon:559292
SGD	SGD:S000005221	MET2	PMID:1101032		GO:0000096	sulfur amino acid metabolic process	IMP		SGD:S000005221	PANTHER:PTHR32268	20130807		NCBITaxon:559292
SGD	SGD:S000003985	MHT1	PMID:11013242		GO:0000096	sulfur amino acid metabolic process	IMP		SGD:S000003985	PANTHER:PTHR11103	20130807		NCBITaxon:559292
SGD	SGD:S000005047	MET4	PMID:1549123		GO:0000096	sulfur amino acid metabolic process	IMP		SGD:S000005047	PANTHER:PTHR13044	20130807		NCBITaxon:559292
TAIR	AGI_LocusCode:AT4G34200	EDA9	PMID:30787133|TAIR:Publication:501784092		GO:0000096	sulfur amino acid metabolic process	IMP		TAIR:locus:2124266		20190510		NCBITaxon:3702
TAIR	AGI_LocusCode:AT1G18640	PSP	PMID:30787133|TAIR:Publication:501784092		GO:0000096	sulfur amino acid metabolic process	IMP		TAIR:locus:2027433		20190510		NCBITaxon:3702
UniProt	UniProtKB:Q2FWC5	SAOUHSC_02373	PMID:35988643		GO:0000096	sulfur amino acid metabolic process	IDA			PANTHER:PTHR37018	20230701		NCBITaxon:93061
CGD	CGD:CAL0000177258	ECM17	PMID:23246394|CGD_REF:CAL0000158300		GO:0000097	sulfur amino acid biosynthetic process	IMP			PANTHER:PTHR11493	20140625		NCBITaxon:237561
ComplexPortal	SGD:S000001926	MET10	PMID:6751400		GO:0000097	sulfur amino acid biosynthetic process	NAS		SGD:S000001926	PANTHER:PTHR19384	20250805		NCBITaxon:559292
ComplexPortal	SGD:S000217821	CPX-3163	PMID:6751400		GO:0000097	sulfur amino acid biosynthetic process	NAS				20250805		NCBITaxon:559292
ComplexPortal	SGD:S000003898	MET5	PMID:6751400		GO:0000097	sulfur amino acid biosynthetic process	NAS		SGD:S000003898	PANTHER:PTHR11493	20250805		NCBITaxon:559292
SGD	SGD:S000003898	MET5	PMID:1479340		GO:0000097	sulfur amino acid biosynthetic process	IMP		SGD:S000003898	PANTHER:PTHR11493	20130807		NCBITaxon:559292
UniProt	UniProtKB:Q16878	CDO1	PMID:12110289		GO:0000097	sulfur amino acid biosynthetic process	TAS		UniProtKB:Q16878	PANTHER:PTHR12918	20060426		NCBITaxon:9606
Reactome	UniProtKB:Q01740	FMO1	Reactome:R-HSA-1614558		GO:0000098	sulfur amino acid catabolic process	TAS		UniProtKB:Q01740	PANTHER:PTHR23023	20250827		NCBITaxon:9606
Reactome	UniProtKB:P25325	MPST	Reactome:R-HSA-1614558		GO:0000098	sulfur amino acid catabolic process	TAS		UniProtKB:P25325	PANTHER:PTHR11364	20250828		NCBITaxon:9606
Reactome	UniProtKB:Q99757	TXN2	Reactome:R-HSA-1614558		GO:0000098	sulfur amino acid catabolic process	TAS		UniProtKB:Q99757	PANTHER:PTHR43601	20250827		NCBITaxon:9606
Reactome	UniProtKB:Q16762	TST	Reactome:R-HSA-1614558		GO:0000098	sulfur amino acid catabolic process	TAS		UniProtKB:Q16762	PANTHER:PTHR11364	20250828		NCBITaxon:9606
UniProt	UniProtKB:Q5LL69	cuyA	PMID:16302849		GO:0000098	sulfur amino acid catabolic process	IDA				20120618		NCBITaxon:246200
