assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
MGI	MGI:MGI:1927999	Mlxipl	PMID:15496471		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IMP		MGI:MGI:1927999	PANTHER:PTHR10328	20230105	GO:0000432|GO:0005634	NCBITaxon:10090
MGI	MGI:MGI:1343094	Kat2b	PMID:21084751		GO:0061733	protein-lysine-acetyltransferase activity	IDA		MGI:MGI:1343094	PANTHER:PTHR45750	20230104	GO:0000432|CL:0000182|GO:0005634|MGI:MGI:1927999|GO:0001228	NCBITaxon:10090
MGI	MGI:MGI:1343094	Kat2b	PMID:21084751		GO:0061733	protein-lysine-acetyltransferase activity	IGI	MGI:MGI:1927999	MGI:MGI:1343094	PANTHER:PTHR45750	20230104	GO:0000432|CL:0000182|GO:0005634|MGI:MGI:1927999|GO:0001228	NCBITaxon:10090
MGI	MGI:MGI:1927999	Mlxipl	PMID:21471514		GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	IGI	MGI:MGI:1339639	MGI:MGI:1927999	PANTHER:PTHR10328	20230109	GO:0000432|CL:0000182|GO:0005634	NCBITaxon:10090
MGI	MGI:MGI:1339639	Ogt	PMID:21471514		GO:0097363	protein O-acetylglucosaminyltransferase activity	IDA		MGI:MGI:1339639	PANTHER:PTHR44366	20230109	GO:0000432|CL:0000182|GO:0005634|MGI:MGI:1927999|GO:0001228	NCBITaxon:10090
MGI	MGI:MGI:2445031	Sik2	PMID:21084751		GO:0106310	protein serine kinase activity	IDA		MGI:MGI:2445031	PANTHER:PTHR24343	20230109	GO:0061987|MGI:MGI:1343094|GO:0003989|GO:0004312	NCBITaxon:10090
MGI	MGI:MGI:2445031	Sik2	PMID:21084751		GO:0106310	protein serine kinase activity	IMP		MGI:MGI:2445031	PANTHER:PTHR24343	20230104	GO:0061987|MGI:MGI:1343094|GO:0004743|GO:0061733	NCBITaxon:10090
PomBase	PomBase:SPBC106.10	pka1	PMID:11739717		GO:0004674	protein serine/threonine kinase activity	IDA		PomBase:SPBC106.10	PANTHER:PTHR24353	20170714	GO:0071333|PomBase:SPAC6F12.02|GO:0061987	NCBITaxon:4896
