assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
BHF-UCL	UniProtKB:Q93088	BHMT	PMID:18230605		GO:0071267	L-methionine salvage	IDA		UniProtKB:Q93088	PANTHER:PTHR46120	20140514	CHEBI:22860	NCBITaxon:9606
BHF-UCL	UniProtKB:Q9H2M3	BHMT2	PMID:18230605		GO:0071267	L-methionine salvage	IDA		UniProtKB:Q9H2M3	PANTHER:PTHR46120	20140514	CHEBI:17728	NCBITaxon:9606
CACAO	UniProtKB:O85746	tyrB	PMID:10074065		GO:0019509	L-methionine salvage from methylthioadenosine	IDA				20141122		NCBITaxon:573
EcoCyc	UniProtKB:P45578	luxS	PMID:11489131		GO:0019284	L-methionine salvage from S-adenosylmethionine	IDA			PANTHER:PTHR35799	20090527		NCBITaxon:83333
EcoCyc	UniProtKB:P0AF12	mtnN	PMID:9524204		GO:0019284	L-methionine salvage from S-adenosylmethionine	IDA			PANTHER:PTHR46832	20211013		NCBITaxon:83333
GeneDB	UniProtKB:Q964F1	Q964F1	PMID:11443076		GO:0019509	L-methionine salvage from methylthioadenosine	IDA				20090731		NCBITaxon:5691
GeneDB	UniProtKB:Q964F0	Q964F0	PMID:11443076		GO:0019509	L-methionine salvage from methylthioadenosine	IDA				20220301		NCBITaxon:5691
GeneDB	TriTrypDB:Tb927.10.3660	cASAT	PMID:11443076		GO:0019509	L-methionine salvage from methylthioadenosine	IDA				20090731		NCBITaxon:185431
GeneDB	TriTrypDB:Tb927.11.5090	mASAT	PMID:11443076		GO:0019509	L-methionine salvage from methylthioadenosine	IDA				20220901		NCBITaxon:185431
MTBBASE	UniProtKB:P9WQ75	ilvE	PMID:15471546		GO:0071267	L-methionine salvage	IDA			PANTHER:PTHR11825	20110217		NCBITaxon:83332
SGD	SGD:S000006194	SAM4	PMID:14189892		GO:0019284	L-methionine salvage from S-adenosylmethionine	IDA		UniProtKB:Q08985	PANTHER:PTHR11103	20130807		NCBITaxon:559292
SGD	SGD:S000004007	MEU1	PMID:14506228		GO:0019509	L-methionine salvage from methylthioadenosine	IDA		UniProtKB:Q07938	PANTHER:PTHR42679	20130807		NCBITaxon:559292
SGD	SGD:S000004007	MEU1	PMID:14506228		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:Q07938	PANTHER:PTHR42679	20130807		NCBITaxon:559292
SGD	SGD:S000006322	MRI1	PMID:15215245		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:Q06489	PANTHER:PTHR43475	20130807		NCBITaxon:559292
SGD	SGD:S000004611	ADI1	PMID:15938715		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:Q03677	PANTHER:PTHR23418	20130807		NCBITaxon:559292
SGD	SGD:S000004611	ADI1	PMID:15938715		GO:0019509	L-methionine salvage from methylthioadenosine	IGI	EMBL:AB158319	UniProtKB:Q03677	PANTHER:PTHR23418	20130807		NCBITaxon:559292
SGD	SGD:S000004611	ADI1	PMID:18625006		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:Q03677	PANTHER:PTHR23418	20130807		NCBITaxon:559292
SGD	SGD:S000000764	UTR4	PMID:18625006		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:P32626	PANTHER:PTHR20371	20130807		NCBITaxon:559292
SGD	SGD:S000006322	MRI1	PMID:18625006		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:Q06489	PANTHER:PTHR43475	20130807		NCBITaxon:559292
SGD	SGD:S000003785	MDE1	PMID:18625006		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:P47095	PANTHER:PTHR10640	20130807		NCBITaxon:559292
SGD	SGD:S000004007	MEU1	PMID:18625006		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:Q07938	PANTHER:PTHR42679	20130807		NCBITaxon:559292
TAIR	AGI_LocusCode:AT1G49820	MTK	PMID:17144895|TAIR:Publication:501720644		GO:0019509	L-methionine salvage from methylthioadenosine	TAS		TAIR:locus:2007253		20070130		NCBITaxon:3702
TAIR	AGI_LocusCode:AT4G34840	MTN2	PMID:18342331|TAIR:Publication:501724342		GO:0019509	L-methionine salvage from methylthioadenosine	IDA		TAIR:locus:2116925		20090914		NCBITaxon:3702
TAIR	AGI_LocusCode:AT4G38800	MTN1	PMID:18342331|TAIR:Publication:501724342		GO:0019509	L-methionine salvage from methylthioadenosine	IDA		TAIR:locus:2141806		20090914		NCBITaxon:3702
TAIR	AGI_LocusCode:AT1G50110	BCAT6	PMID:25851613|TAIR:Publication:501763938		GO:0071267	L-methionine salvage	IGI	AGI_LocusCode:AT3G19710	TAIR:locus:2031030		20150519		NCBITaxon:3702
UniProt	UniProtKB:Q9UHY7	ENOPH1	PMID:15843022		GO:0019509	L-methionine salvage from methylthioadenosine	IDA		UniProtKB:Q9UHY7	PANTHER:PTHR20371	20080310		NCBITaxon:9606
UniProt	UniProtKB:Q9BV57	ADI1	PMID:15938715		GO:0019509	L-methionine salvage from methylthioadenosine	IDA		UniProtKB:Q9BV57	PANTHER:PTHR23418	20060206		NCBITaxon:9606
UniProt	UniProtKB:Q96GX9	APIP	PMID:22837397		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:Q96GX9	PANTHER:PTHR10640	20130117		NCBITaxon:9606
UniProt	UniProtKB:Q96GX9	APIP	PMID:23285211		GO:0019509	L-methionine salvage from methylthioadenosine	IMP		UniProtKB:Q96GX9	PANTHER:PTHR10640	20130117		NCBITaxon:9606
