assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
UniProt	UniProtKB:Q9UBR1	UPB1	PMID:22525402		GO:0033396	beta-alanine biosynthetic process via 3-ureidopropionate	IDA		UniProtKB:Q9UBR1	PANTHER:PTHR43674	20181116		NCBITaxon:9606
UniProt	UniProtKB:Q9UBR1	UPB1	PMID:29976570		GO:0033396	beta-alanine biosynthetic process via 3-ureidopropionate	IDA		UniProtKB:Q9UBR1	PANTHER:PTHR43674	20181116		NCBITaxon:9606
WB	WB:WBGene00017440	upb-1	PMID:20840592		GO:0033396	beta-alanine biosynthetic process via 3-ureidopropionate	IDA		WB:WBGene00017440	PANTHER:PTHR43674	20150316		NCBITaxon:6239
