assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
CAFA	UniProtKB:Q8WZ42	TTN	PMID:25152160		GO:0010737	protein kinase A signaling	IMP		UniProtKB:Q8WZ42	PANTHER:PTHR13817	20161205		NCBITaxon:9606
CAFA	UniProtKB:P52179	MYOM1	PMID:25152160		GO:0010737	protein kinase A signaling	IMP		UniProtKB:P52179	PANTHER:PTHR13817	20161205		NCBITaxon:9606
RGD	RGD:628619	Aip	PMID:12810716		GO:0010737	protein kinase A signaling	IDA			PANTHER:PTHR11242	20100916		NCBITaxon:10116
SGD	SGD:S000001649	TPK3	PMID:20133652		GO:0010737	protein kinase A signaling	IGI	SGD:S000003700		PANTHER:PTHR24353	20130807		NCBITaxon:559292
SGD	SGD:S000001649	TPK3	PMID:20133652		GO:0010737	protein kinase A signaling	IGI	SGD:S000006124		PANTHER:PTHR24353	20130807		NCBITaxon:559292
SGD	SGD:S000006124	TPK2	PMID:20133652		GO:0010737	protein kinase A signaling	IGI	SGD:S000001649		PANTHER:PTHR24353	20130807		NCBITaxon:559292
SGD	SGD:S000006124	TPK2	PMID:20133652		GO:0010737	protein kinase A signaling	IGI	SGD:S000003700		PANTHER:PTHR24353	20130807		NCBITaxon:559292
SGD	SGD:S000003700	TPK1	PMID:20133652		GO:0010737	protein kinase A signaling	IGI	SGD:S000001649		PANTHER:PTHR24353	20130807		NCBITaxon:559292
SGD	SGD:S000003700	TPK1	PMID:20133652		GO:0010737	protein kinase A signaling	IGI	SGD:S000006124		PANTHER:PTHR24353	20130807		NCBITaxon:559292
UniProt	UniProtKB:G5EB66	pkaA	PMID:12046590		GO:0010737	protein kinase A signaling	IMP			PANTHER:PTHR24353	20240918		NCBITaxon:227321
UniProt	UniProtKB:P51153	RAB13	PMID:15096524		GO:0010737	protein kinase A signaling	IMP		UniProtKB:P51153	PANTHER:PTHR47980	20130827		NCBITaxon:9606
UniProt	UniProtKB:F1PTE3	RAB13	PMID:15096524		GO:0010737	protein kinase A signaling	IMP		UniProtKB:F1PTE3	PANTHER:PTHR47980	20130827		NCBITaxon:9615
UniProt	UniProtKB:P13796	LCP1	PMID:16636079		GO:0010737	protein kinase A signaling	IMP		UniProtKB:P13796	PANTHER:PTHR19961	20140106		NCBITaxon:9606
UniProt	UniProtKB:P15311	EZR	PMID:17911601		GO:0010737	protein kinase A signaling	IMP		UniProtKB:P15311	PANTHER:PTHR23281	20150619	CL:0000084	NCBITaxon:9606
UniProt	UniProtKB:P22466	GAL	PMID:17982695		GO:0010737	protein kinase A signaling	IDA		UniProtKB:P22466	PANTHER:PTHR16839	20140408	CL:0002097	NCBITaxon:9606
UniProt	MGI:MGI:95674	Gcg	PMID:19915011		GO:0010737	protein kinase A signaling	IMP			PANTHER:PTHR11418	20110325		NCBITaxon:10090
UniProt	RGD:620880	Rab13	PMID:23419316		GO:0010737	protein kinase A signaling	IMP			PANTHER:PTHR47980	20130830		NCBITaxon:10116
UniProt	UniProtKB:P35555	FBN1	PMID:27087445		GO:0010737	protein kinase A signaling	IDA		UniProtKB:P35555-PRO_0000436882	PANTHER:PTHR24039	20160531		NCBITaxon:9606
UniProt	MGI:MGI:1921905	Mroh2b	PMID:27105888		GO:0010737	protein kinase A signaling	IDA			PANTHER:PTHR23120	20161027		NCBITaxon:10090
UniProt	MGI:MGI:98544	Tcp11	PMID:27105888		GO:0010737	protein kinase A signaling	IDA			PANTHER:PTHR12832	20161027		NCBITaxon:10090
dictyBase	dictyBase:DDB_G0282749	bzpG	PMID:20356373		GO:0010737	protein kinase A signaling	IEP			PANTHER:PTHR47416	20171102		NCBITaxon:44689
dictyBase	dictyBase:DDB_G0279529	bzpF	PMID:20356373		GO:0010737	protein kinase A signaling	IEP			PANTHER:PTHR47416	20171102		NCBITaxon:44689
dictyBase	dictyBase:DDB_G0290165	bzpR	PMID:20356373		GO:0010737	protein kinase A signaling	IEP			PANTHER:PTHR14312	20171102		NCBITaxon:44689
dictyBase	dictyBase:DDB_G0287643	DDB_G0287643	PMID:20356373		GO:0010737	protein kinase A signaling	IEP				20171102		NCBITaxon:44689
dictyBase	dictyBase:DDB_G0283907	pkaC	PMID:7713325		GO:0010737	protein kinase A signaling	IMP			PANTHER:PTHR24353	20190830		NCBITaxon:44689
RGD	RGD:2522	Drd4	PMID:12417643		GO:0010738	regulation of protein kinase A signaling	IDA			PANTHER:PTHR24247	20240201		NCBITaxon:10116
UniProt	UniProtKB:P24588	AKAP5	PMID:17081159		GO:0010738	regulation of protein kinase A signaling	IMP		UniProtKB:P24588	PANTHER:PTHR15182	20171208		NCBITaxon:9606
UniProt	UniProtKB:Q02952	AKAP12	PMID:17081159		GO:0010738	regulation of protein kinase A signaling	IMP		UniProtKB:Q02952	PANTHER:PTHR23209	20171208		NCBITaxon:9606
UniProt	RGD:620273	Pja2	PMID:21423175		GO:0010738	regulation of protein kinase A signaling	IMP			PANTHER:PTHR15710	20110526		NCBITaxon:10116
UniProt	UniProtKB:O43164	PJA2	PMID:21423175		GO:0010738	regulation of protein kinase A signaling	IMP		UniProtKB:O43164	PANTHER:PTHR15710	20110526		NCBITaxon:9606
UniProt	UniProtKB:P23945	FSHR	PMID:24058690		GO:0010738	regulation of protein kinase A signaling	IMP		UniProtKB:P23945	PANTHER:PTHR24372	20150924		NCBITaxon:9606
dictyBase	dictyBase:DDB_G0282927	dhkL	PMID:20356373		GO:0010738	regulation of protein kinase A signaling	IEP			PANTHER:PTHR43719	20171102		NCBITaxon:44689
dictyBase	dictyBase:DDB_G0279413	pkaR	PMID:7713325		GO:0010738	regulation of protein kinase A signaling	IMP			PANTHER:PTHR11635	20190830		NCBITaxon:44689
AgBase	UniProtKB:F1S9C0	SAA2	PMID:21701568		GO:0010739	positive regulation of protein kinase A signaling	IMP		UniProtKB:F1S9C0	PANTHER:PTHR23424	20150513	CL:0000136|UniProtKB:I3L7T9	NCBITaxon:9823
BHF-UCL	RGD:69412	Akap6	PMID:11179196		GO:0010739	positive regulation of protein kinase A signaling	IMP			PANTHER:PTHR14514	20241121	CL:0002131|GO:0086004	NCBITaxon:10116
