assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
UniProt	UniProtKB:P33947	KDELR2	PMID:1325562		GO:0005046	KDEL sequence binding	IDA		UniProtKB:P33947	PANTHER:PTHR10585	20190326		NCBITaxon:9606
UniProt	UniProtKB:O43731	KDELR3	PMID:18086916		GO:0005046	KDEL sequence binding	IDA		UniProtKB:O43731	PANTHER:PTHR10585	20190326		NCBITaxon:9606
UniProt	UniProtKB:P33947	KDELR2	PMID:18086916		GO:0005046	KDEL sequence binding	IDA		UniProtKB:P33947	PANTHER:PTHR10585	20190326		NCBITaxon:9606
UniProt	UniProtKB:P24390	KDELR1	PMID:18086916		GO:0005046	KDEL sequence binding	IDA		UniProtKB:P24390	PANTHER:PTHR10585	20190326		NCBITaxon:9606
UniProt	UniProtKB:Q5ZKX9	KDELR2	PMID:30846601		GO:0005046	KDEL sequence binding	IDA		UniProtKB:Q5ZKX9	PANTHER:PTHR10585	20190326		NCBITaxon:9031
UniProt	UniProtKB:P24390	KDELR1	PMID:8392934		GO:0005046	KDEL sequence binding	IDA		UniProtKB:P24390	PANTHER:PTHR10585	20190326		NCBITaxon:9606
SGD	SGD:S000000136	ERD2	PMID:2194670		GO:0045015	HDEL sequence binding	IMP		SGD:S000000136	PANTHER:PTHR10585	20130807		NCBITaxon:559292
