assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
BHF-UCL	UniProtKB:Q8N159	NAGS	PMID:21757002		GO:0004042	L-glutamate N-acetyltransferase activity, acting on acetyl-CoA as donor	TAS		UniProtKB:Q8N159	PANTHER:PTHR23342	20250924	GO:0000050|GO:0006536	NCBITaxon:9606
UniProt	UniProtKB:J7SZ64	CLOSPO_02083	PMID:25263219		GO:0036469	L-tryptophan decarboxylase activity	IDA				20220823	GO:0006568|CHEBI:57912|CHEBI:57887	NCBITaxon:471871
UniProt	UniProtKB:A7B1V0	RUMGNA_01526	PMID:25263219		GO:0036469	L-tryptophan decarboxylase activity	IDA				20220824	GO:0006568|CHEBI:57912|CHEBI:57887	NCBITaxon:411470
UniProt	UniProtKB:Q8AAD6	trpC	PMID:33299969		GO:0036469	L-tryptophan decarboxylase activity	IDA			PANTHER:PTHR22854	20221006	GO:0006568|CHEBI:57912|CHEBI:57887	NCBITaxon:226186
