assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
MGI	MGI:MGI:96067	Htt	PMID:17213233		GO:0000052	citrulline metabolic process	IMP	MGI:MGI:2177757	MGI:MGI:96067	PANTHER:PTHR10170	20080502		NCBITaxon:10090
AspGD	UniProtKB:C8VJ67	ANIA_02914	PMID:14732264		GO:0006525	arginine metabolic process	IMP			PANTHER:PTHR43814	20100311		NCBITaxon:227321
GeneDB	PlasmoDB:PF3D7_0906500	PF3D7_0906500	PMID:15843155		GO:0006525	arginine metabolic process	IDA				20170913		NCBITaxon:36329
Reactome	UniProtKB:P02521	ASL1	Reactome:R-GGA-187630		GO:0006525	arginine metabolic process	TAS		UniProtKB:P02521	PANTHER:PTHR43814	20230308		NCBITaxon:9031
Reactome	UniProtKB:P05083	ASL2	Reactome:R-GGA-187630		GO:0006525	arginine metabolic process	TAS		UniProtKB:P05083	PANTHER:PTHR43814	20230308		NCBITaxon:9031
UniProt	UniProtKB:Q93070	ART4	PMID:11001920		GO:0006525	arginine metabolic process	NAS		UniProtKB:Q93070	PANTHER:PTHR10339	20020708		NCBITaxon:9606
UniProt	UniProtKB:Q9HXE4	dauB	PMID:19139398		GO:0006525	arginine metabolic process	IMP		UniProtKB:Q9HXE4	PANTHER:PTHR13812	20150327		NCBITaxon:208964
UniProt	UniProtKB:Q9HXE4	dauB	PMID:19850617		GO:0006525	arginine metabolic process	IMP		UniProtKB:Q9HXE4	PANTHER:PTHR13812	20150327		NCBITaxon:208964
UniProt	UniProtKB:Q9HXE3	dauA	PMID:19850617		GO:0006525	arginine metabolic process	IMP		UniProtKB:Q9HXE3	PANTHER:PTHR13847	20150327		NCBITaxon:208964
UniProt	UniProtKB:Q9HXE3	dauA	PMID:20809650		GO:0006525	arginine metabolic process	IDA		UniProtKB:Q9HXE3	PANTHER:PTHR13847	20150327		NCBITaxon:208964
UniProt	MGI:MGI:95530	Fh1	PMID:23643539		GO:0006525	arginine metabolic process	IMP		MGI:MGI:95530	PANTHER:PTHR11444	20240802		NCBITaxon:10090
UniProt	MGI:MGI:1914797	Slc39a8	PMID:28481222		GO:0006525	arginine metabolic process	IMP		MGI:MGI:1914797	PANTHER:PTHR12191	20191209		NCBITaxon:10090
UniProt	UniProtKB:P39138	rocF	PMID:7540694		GO:0006525	arginine metabolic process	IDA			PANTHER:PTHR43782	20120328		NCBITaxon:224308
UniProt	UniProtKB:P39137	rocE	PMID:7540694		GO:0006525	arginine metabolic process	IDA			PANTHER:PTHR43341	20120328		NCBITaxon:224308
UniProt	UniProtKB:P38022	rocR	PMID:7540694		GO:0006525	arginine metabolic process	IDA			PANTHER:PTHR32071	20120328		NCBITaxon:224308
UniProt	UniProtKB:P38021	rocD	PMID:7540694		GO:0006525	arginine metabolic process	IDA			PANTHER:PTHR11986	20120328		NCBITaxon:224308
UniProt	UniProtKB:P04424	ASL	PMID:9045711		GO:0006525	arginine metabolic process	IDA		UniProtKB:P04424	PANTHER:PTHR43814	20211223		NCBITaxon:9606
EcoCyc	EcoCyc:ASPARTASE-MONOMER	AspA	PMID:5000448		GO:0006531	aspartate metabolic process	IDA		EcoCyc:ASPARTASE-MONOMER		20110616		NCBITaxon:83333
MGI	MGI:MGI:1925528	Ddo	PMID:16525061		GO:0006531	aspartate metabolic process	IMP	MGI:MGI:3625623	MGI:MGI:1925528	PANTHER:PTHR11530	20060720		NCBITaxon:10090
MGI	MGI:MGI:87914	Aspa	PMID:28077719		GO:0006531	aspartate metabolic process	IGI	MGI:MGI:2447776	MGI:MGI:87914	PANTHER:PTHR15162	20221214		NCBITaxon:10090
MGI	MGI:MGI:2447776	Nat8l	PMID:28077719		GO:0006531	aspartate metabolic process	IGI	MGI:MGI:87914	MGI:MGI:2447776	PANTHER:PTHR13947	20221214		NCBITaxon:10090
MGI	MGI:MGI:1927580	Bloc1s6	PMID:28701731		GO:0006531	aspartate metabolic process	IMP	MGI:MGI:1856982	MGI:MGI:1927580	PANTHER:PTHR31328	20210929		NCBITaxon:10090
MGI	MGI:MGI:2685433	Slc38a8	PMID:36735752		GO:0006531	aspartate metabolic process	IMP		MGI:MGI:2685433	PANTHER:PTHR22950	20241120		NCBITaxon:10090
TAIR	AGI_LocusCode:AT5G19550	ASP2	PMID:9611168		GO:0006531	aspartate metabolic process	IMP		AGI_LocusCode:AT5G19550		20240327		NCBITaxon:3702
TIGR	AGI_LocusCode:AT1G31230	AKHSDH1	PMID:8204822		GO:0006531	aspartate metabolic process	TAS		AGI_LocusCode:AT1G31230		20250205		NCBITaxon:3702
TIGR	AGI_LocusCode:AT4G19710	AKHSDH2	PMID:8204822		GO:0006531	aspartate metabolic process	TAS		AGI_LocusCode:AT4G19710		20250205		NCBITaxon:3702
TIGR	AGI_LocusCode:AT3G02020	AK3	PMID:9207844		GO:0006531	aspartate metabolic process	TAS		AGI_LocusCode:AT3G02020		20250205		NCBITaxon:3702
TIGR	AGI_LocusCode:AT5G14060	AK2	PMID:9207844		GO:0006531	aspartate metabolic process	TAS		AGI_LocusCode:AT5G14060		20250205		NCBITaxon:3702
UniProt	UniProtKB:Q53IZ1	asD	PMID:19368885		GO:0006531	aspartate metabolic process	IDA				20120629		NCBITaxon:306
UniProt	UniProtKB:Q93QX0	asD	PMID:19368885		GO:0006531	aspartate metabolic process	IDA				20120629		NCBITaxon:285
UniProt	UniProtKB:P00508	GOT2	PMID:8665890		GO:0006531	aspartate metabolic process	IDA		UniProtKB:P00508	PANTHER:PTHR11879	20091214		NCBITaxon:9031
ComplexPortal	ComplexPortal:CPX-1976	nadp+-gdh_ecoli	PMID:23879525		GO:0006536	glutamate metabolic process	IDA				20240827		NCBITaxon:83333
ComplexPortal	EcoCyc:GDHA-MONOMER	GdhA	PMID:23879525		GO:0006536	glutamate metabolic process	IDA		EcoCyc:GDHA-MONOMER		20240827		NCBITaxon:83333
GeneDB	PlasmoDB:PF3D7_1416500	GDH1	PMID:9874251		GO:0006536	glutamate metabolic process	IDA				20220901		NCBITaxon:36329
MGI	MGI:MGI:2387600	Nags	PMID:12049647		GO:0006536	glutamate metabolic process	IDA		MGI:MGI:2387600	PANTHER:PTHR23342	20021107		NCBITaxon:10090
MGI	MGI:MGI:2441982	Aldh5a1	PMID:17854388		GO:0006536	glutamate metabolic process	IMP	MGI:MGI:2180159	MGI:MGI:2441982	PANTHER:PTHR43353	20210323	CL:0000125	NCBITaxon:10090
MGI	MGI:MGI:2441982	Aldh5a1	PMID:17854388		GO:0006536	glutamate metabolic process	IMP	MGI:MGI:2180159	MGI:MGI:2441982	PANTHER:PTHR43353	20210323	CL:0000540	NCBITaxon:10090
MGI	MGI:MGI:1927580	Bloc1s6	PMID:28701731		GO:0006536	glutamate metabolic process	IMP	MGI:MGI:1856982	MGI:MGI:1927580	PANTHER:PTHR31328	20231212		NCBITaxon:10090
MGI	MGI:MGI:1927580	Bloc1s6	PMID:28701731		GO:0006536	glutamate metabolic process	IMP	MGI:MGI:1856982	MGI:MGI:1927580	PANTHER:PTHR31328	20210929		NCBITaxon:10090
PseudoCAP	UniProtKB:P38100	carB	PMID:6402363		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P38100	PANTHER:PTHR11405	20190311		NCBITaxon:208964
TAIR	AGI_LocusCode:AT3G22200	POP2	PMID:23148892		GO:0006536	glutamate metabolic process	IMP		AGI_LocusCode:AT3G22200		20121116		NCBITaxon:3702
TAIR	AGI_LocusCode:AT1G65960	GAD2	PMID:9700069		GO:0006536	glutamate metabolic process	IDA		AGI_LocusCode:AT1G65960		20040308		NCBITaxon:3702
TAIR	AGI_LocusCode:AT1G65960	GAD2	PMID:9701597		GO:0006536	glutamate metabolic process	IDA		AGI_LocusCode:AT1G65960		20040308		NCBITaxon:3702
UniProt	UniProtKB:P54886	ALDH18A1	PMID:11092761		GO:0006536	glutamate metabolic process	IMP		UniProtKB:P54886	PANTHER:PTHR11063	20120911		NCBITaxon:9606
UniProt	UniProtKB:P48506	GCLC	PMID:12663448		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P48506	PANTHER:PTHR11164	20070103		NCBITaxon:9606
UniProt	UniProtKB:Q8N5Z0	AADAT	PMID:18620547		GO:0006536	glutamate metabolic process	IDA		UniProtKB:Q8N5Z0	PANTHER:PTHR42790	20100215		NCBITaxon:9606
UniProt	MGI:MGI:98487	Tat	PMID:21153519		GO:0006536	glutamate metabolic process	IDA		MGI:MGI:98487	PANTHER:PTHR45744	20120703		NCBITaxon:10090
UniProt	UniProtKB:P19440	GGT1	PMID:21447318		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P19440	PANTHER:PTHR11686	20200814		NCBITaxon:9606
UniProt	UniProtKB:A3MWK6	Pcal_1606	PMID:23508687		GO:0006536	glutamate metabolic process	IDA				20150116		NCBITaxon:410359
UniProt	UniProtKB:A3MUY9	Pcal_1031	PMID:23508687		GO:0006536	glutamate metabolic process	IDA				20150116		NCBITaxon:410359
UniProt	UniProtKB:P19440	GGT1	PMID:24047895		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P19440	PANTHER:PTHR11686	20131009		NCBITaxon:9606
UniProt	MGI:MGI:2444813	Dglucy	PMID:28266638		GO:0006536	glutamate metabolic process	IDA		MGI:MGI:2444813	PANTHER:PTHR32022	20170530		NCBITaxon:10090
UniProt	UniProtKB:Q5E5Y7	gadA	PMID:28446608		GO:0006536	glutamate metabolic process	IDA				20170512		NCBITaxon:312309
UniProt	UniProtKB:Q9KZC7	glnA3	PMID:28487688		GO:0006536	glutamate metabolic process	IDA			PANTHER:PTHR43785	20221022		NCBITaxon:100226
UniProt	UniProtKB:O88070	glnA4	PMID:31113893		GO:0006536	glutamate metabolic process	IDA			PANTHER:PTHR43785	20230407		NCBITaxon:100226
UniProt	UniProtKB:Q9RDS6	glnA2	PMID:35409114		GO:0006536	glutamate metabolic process	IDA			PANTHER:PTHR43785	20230407		NCBITaxon:100226
UniProt	UniProtKB:Q9KZC7	glnA3	PMID:35409114		GO:0006536	glutamate metabolic process	IDA			PANTHER:PTHR43785	20221022		NCBITaxon:100226
UniProt	UniProtKB:P17735	TAT	PMID:7999802		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P17735	PANTHER:PTHR45744	20100215		NCBITaxon:9606
UniProt	UniProtKB:P49448	GLUD2	PMID:8207021		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P49448	PANTHER:PTHR11606	20060424		NCBITaxon:9606
UniProt	UniProtKB:P00508	GOT2	PMID:8665890		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P00508	PANTHER:PTHR11879	20091214		NCBITaxon:9031
UniProt	UniProtKB:P48507	GCLM	PMID:9841880		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P48507	PANTHER:PTHR13295	20070102		NCBITaxon:9606
UniProt	UniProtKB:P48506	GCLC	PMID:9841880		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P48506	PANTHER:PTHR11164	20200414		NCBITaxon:9606
UniProt	UniProtKB:P48507	GCLM	PMID:9895302		GO:0006536	glutamate metabolic process	IDA		UniProtKB:P48507	PANTHER:PTHR13295	20070105		NCBITaxon:9606
dictyBase	dictyBase:DDB_G0282615	midA	PMID:16507593		GO:0006536	glutamate metabolic process	IMP		dictyBase:DDB_G0282615	PANTHER:PTHR12049	20060317		NCBITaxon:44689
AspGD	UniProtKB:Q66V97	Aory04_000552500	PMID:1368691		GO:0006541	L-glutamine metabolic process	IDA				20111203		NCBITaxon:5062
ComplexPortal	SGD:S000001694	TRP3	PMID:3881257		GO:0006541	L-glutamine metabolic process	IDA		SGD:S000001694	PANTHER:PTHR43418	20240827		NCBITaxon:559292
ComplexPortal	SGD:S000218001	CPX-1850	PMID:3881257		GO:0006541	L-glutamine metabolic process	IDA				20240827		NCBITaxon:559292
ComplexPortal	SGD:S000000892	TRP2	PMID:3881257		GO:0006541	L-glutamine metabolic process	IDA		SGD:S000000892	PANTHER:PTHR11236	20240827		NCBITaxon:559292
EcoCyc	EcoCyc:PRPPAMIDOTRANS-MONOMER	PurF	PMID:2188964		GO:0006541	L-glutamine metabolic process	IMP		EcoCyc:PRPPAMIDOTRANS-MONOMER		20120109		NCBITaxon:83333
EcoliWiki	EcoCyc:CARBPSYN-SMALL	CarA	PMID:1827118		GO:0006541	L-glutamine metabolic process	IMP		EcoCyc:CARBPSYN-SMALL		20090223		NCBITaxon:83333
EcoliWiki	EcoCyc:FGAMSYN-MONOMER	PurL	PMID:2659070		GO:0006541	L-glutamine metabolic process	IDA		EcoCyc:FGAMSYN-MONOMER		20110525		NCBITaxon:83333
EcoliWiki	EcoCyc:ASNSYNB-MONOMER	AsnB	PMID:6102982		GO:0006541	L-glutamine metabolic process	IMP		EcoCyc:ASNSYNB-MONOMER		20090121		NCBITaxon:83333
EcoliWiki	EcoCyc:PRPPAMIDOTRANS-MONOMER	PurF	PMID:7037784		GO:0006541	L-glutamine metabolic process	IDA		EcoCyc:PRPPAMIDOTRANS-MONOMER		20110815		NCBITaxon:83333
MGI	MGI:MGI:99918	Mecp2	PMID:17237885		GO:0006541	L-glutamine metabolic process	IMP	MGI:MGI:2137311	MGI:MGI:99918	PANTHER:PTHR15074	20081010		NCBITaxon:10090
MGI	MGI:MGI:1355330	Phgdh	PMID:19114063		GO:0006541	L-glutamine metabolic process	IMP	MGI:MGI:3769591	MGI:MGI:1355330	PANTHER:PTHR42938	20090429	EMAPA:17577	NCBITaxon:10090
