term	file	line
GO:0009274	interpro2go	InterPro:IPR004903 Lactobacillus surface layer protein > GO:peptidoglycan-based cell wall ; GO:0009274
GO:0009274	interpro2go	InterPro:IPR011812 Biosynthetic peptidoglycan transglycosylase > GO:peptidoglycan-based cell wall ; GO:0009274
GO:0009274	interpro2go	InterPro:IPR011813 Penicillin-binding protein 1B > GO:peptidoglycan-based cell wall ; GO:0009274
GO:0009274	interpro2go	InterPro:IPR019909 Haem uptake protein IsdC > GO:peptidoglycan-based cell wall ; GO:0009274
GO:0009274	unirule2go	UniRule:UR000142758 > GO:peptidoglycan-based cell wall ; GO:0009274
GO:0009274	unirule2go	UniRule:UR001995736 > GO:peptidoglycan-based cell wall ; GO:0009274
GO:0042597	interpro2go	InterPro:IPR001188 Spermidine/putrescine-binding periplasmic protein > GO:periplasmic space ; GO:0042597
GO:0042597	interpro2go	InterPro:IPR003321 Cytochrome c552 > GO:periplasmic space ; GO:0042597
GO:0042597	interpro2go	InterPro:IPR006376 Copper-resistance protein CopA > GO:periplasmic space ; GO:0042597
GO:0042597	interpro2go	InterPro:IPR007195 TolB, N-terminal > GO:periplasmic space ; GO:0042597
GO:0042597	interpro2go	InterPro:IPR007348 CopC domain > GO:periplasmic space ; GO:0042597
GO:0042597	interpro2go	InterPro:IPR007444 Glucan biosynthesis, periplasmic, MdoG C-terminal > GO:periplasmic space ; GO:0042597
GO:0042597	interpro2go	InterPro:IPR008397 Alginate lyase domain > GO:periplasmic space ; GO:0042597
GO:0042597	interpro2go	InterPro:IPR008939 Lytic transglycosylase, superhelical U-shaped > GO:periplasmic space ; GO:0042597
GO:0042597	interpro2go	InterPro:IPR008953 Iron hydrogenase, small subunit HydB-type > GO:periplasmic space ; GO:0042597
GO:0042597	interpro2go	InterPro:IPR009094 Disulphide bond isomerase DsbC/G, N-terminal domain superfamily > GO:periplasmic space ; GO:0042597
