assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoform	panther_family	date	annotation_extension_class	taxon
EcoCyc	EcoCyc:OHMETHYLBILANESYN-MONOMER	HemC	PMID:8224882		GO:0006782	protoporphyrinogen IX biosynthetic process	IDA		EcoCyc:OHMETHYLBILANESYN-MONOMER		20130610		NCBITaxon:83333
EcoCyc	EcoCyc:UROGENIIISYN-MONOMER	HemD	PMID:8224882		GO:0006782	protoporphyrinogen IX biosynthetic process	IDA		EcoCyc:UROGENIIISYN-MONOMER		20130610		NCBITaxon:83333
MGI	MGI:MGI:1928268	Ireb2	PMID:15831703		GO:0006782	protoporphyrinogen IX biosynthetic process	IMP	MGI:MGI:2181660	MGI:MGI:1928268	PANTHER:PTHR11670	20071226	CL:0000232|EMAPA:16332	NCBITaxon:10090
PomBase	PomBase:SPAC222.11	hem13	PMID:28377506		GO:0006782	protoporphyrinogen IX biosynthetic process	IMP		PomBase:SPAC222.11	PANTHER:PTHR10755	20191129		NCBITaxon:4896
RGD	RGD:1311817	Cpox	PMID:3814086		GO:0006782	protoporphyrinogen IX biosynthetic process	IDA		RGD:1311817	PANTHER:PTHR10755	20101026		NCBITaxon:10116
UniProt	UniProtKB:P13716	ALAD	PMID:11032836		GO:0006782	protoporphyrinogen IX biosynthetic process	IDA		UniProtKB:P13716	PANTHER:PTHR11458	20241127	GO:0006785	NCBITaxon:9606
UniProt	UniProtKB:P06132	UROD	PMID:11069625		GO:0006782	protoporphyrinogen IX biosynthetic process	IDA		UniProtKB:P06132	PANTHER:PTHR21091	20241127	GO:0006785	NCBITaxon:9606
UniProt	EcoCyc:HEMN-MONOMER	HemN	PMID:12114526		GO:0006782	protoporphyrinogen IX biosynthetic process	IDA		EcoCyc:HEMN-MONOMER		20140225		NCBITaxon:83333
UniProt	UniProtKB:P08397	HMBS	PMID:18004775		GO:0006782	protoporphyrinogen IX biosynthetic process	IDA		UniProtKB:P08397	PANTHER:PTHR11557	20241127	GO:0006785	NCBITaxon:9606
UniProt	UniProtKB:P10746	UROS	PMID:18004775		GO:0006782	protoporphyrinogen IX biosynthetic process	IDA		UniProtKB:P10746	PANTHER:PTHR12390	20241127	GO:0006785	NCBITaxon:9606
